"month","year","PM2.5","PM10","O3","AQI","Location"
1,2001,283,340.142857142857,7.02142857142857,365.5,"Delhi"
1,2002,278.995775729647,360.567204301075,8.04957757296467,384.35291858679,"Delhi"
1,2003,303.928571428571,377.928571428571,8.96428571428571,400.357142857143,"Delhi"
1,2004,307.671466973886,375.128360215054,8.46294162826421,405.829781105991,"Delhi"
1,2005,302.681739631336,357.063940092166,8.5417722734255,399.753168202765,"Delhi"
1,2006,304.857142857143,363.714285714286,8.63571428571429,401.928571428571,"Delhi"
1,2007,332.390405904059,410.80258302583,10.6157933579336,430.251660516605,"Delhi"
1,2008,287.071428571429,292.785714285714,25.0428571428571,315.5,"Delhi"
1,2009,287.071428571429,292.785714285714,25.0428571428571,315.5,"Delhi"
1,2010,252.571428571429,234.428571428571,35.6857142857143,268.214285714286,"Delhi"
1,2011,253.029569892473,235.635080645161,35.620958141321,268.38287250384,"Delhi"
1,2012,235.928571428571,218.428571428571,43.4714285714286,250.785714285714,"Delhi"
1,2013,235.928571428571,218.428571428571,43.4714285714286,250.785714285714,"Delhi"
1,2014,216.357142857143,190.357142857143,47.7428571428571,226.428571428571,"Delhi"
1,2015,214.534562211982,188.047235023041,48.126747311828,224.60599078341,"Delhi"
1,2016,200.714285714286,168.785714285714,51.2857142857143,210.785714285714,"Delhi"
1,2017,200.714285714286,168.785714285714,51.2857142857143,210.785714285714,"Delhi"
1,2018,198,179.428571428571,49.1,220.857142857143,"Delhi"
1,2019,197.153846153846,180,52.7076923076923,221.769230769231,"Delhi"
1,2020,192.230769230769,159.769230769231,35.8076923076923,197.769230769231,"Delhi"
1,2021,192.230769230769,159.769230769231,35.8076923076923,197.769230769231,"Delhi"
1,2022,190.230769230769,189.722187758478,18.8923076923077,220.846153846154,"Delhi"
1,2023,190.307692307692,189.538461538462,18.5,220.923076923077,"Delhi"
1,2024,203.230769230769,232.307692307692,13.9384615384615,252.615384615385,"Delhi"
2,2001,283.053784013605,340.089073129252,7.02142857142857,365.553784013605,"Delhi"
2,2002,279,360.571428571429,8.05,384.357142857143,"Delhi"
2,2003,303.928571428571,377.928571428571,8.96428571428571,400.357142857143,"Delhi"
2,2004,307.285714285714,375.214285714286,8.43571428571429,406.285714285714,"Delhi"
2,2005,303.357142857143,357.642857142857,8.56428571428571,400.428571428571,"Delhi"
2,2006,304.857142857143,363.714285714286,8.63571428571429,401.928571428571,"Delhi"
2,2007,340.161991805862,419.921840529467,11.4389536716042,428.181531673495,"Delhi"
2,2008,287.071428571429,292.785714285714,25.0428571428571,315.5,"Delhi"
2,2009,287.071428571429,292.785714285714,25.0428571428571,315.5,"Delhi"
2,2010,252.571428571429,234.428571428571,35.6857142857143,268.214285714286,"Delhi"
2,2011,242.235331632653,221.816432823129,39.7363095238095,254.163903061224,"Delhi"
2,2012,235.928571428571,218.428571428571,43.4714285714286,250.785714285714,"Delhi"
2,2013,235.928571428571,218.428571428571,43.4714285714286,250.785714285714,"Delhi"
2,2014,216.357142857143,190.357142857143,47.7428571428571,226.428571428571,"Delhi"
2,2015,210.810480442177,183.510416666667,49.2824511054422,220.881909013605,"Delhi"
2,2016,200.714285714286,168.785714285714,51.2857142857143,210.785714285714,"Delhi"
2,2017,200.714285714286,168.785714285714,51.2857142857143,210.785714285714,"Delhi"
2,2018,198,179.428571428571,49.1,220.857142857143,"Delhi"
2,2019,197.153846153846,180,52.7076923076923,221.769230769231,"Delhi"
2,2020,192.230769230769,159.769230769231,35.8076923076923,197.769230769231,"Delhi"
2,2021,192.230769230769,159.769230769231,35.8076923076923,197.769230769231,"Delhi"
